keys,ts,en,it,pt,
SE_WHITE_SPEC_DESC,SE_WHITE_SPEC_DESC,"White special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco bianco speciale. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial branco. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_GREEN_SPEC_DESC,SE_GREEN_SPEC_DESC,"Green special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco verde speciale. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial verde. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_PURPLE_SPEC_DESC,SE_PURPLE_SPEC_DESC,"Purple special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco viola speciale. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial roxo. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_RED_SQR_DESC,SE_RED_SQR_DESC,"Red square texture. Size: 128x128. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del quadrato rosso. Dimensioni: 128×128. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de quadrado vermelho. Tamanho: 128x128. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_WHITE_SQR_DESC,SE_WHITE_SQR_DESC,"White square texture. Size: 128x128. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del quadrato bianco. Dimensioni: 128×128. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de quadrado branco. Tamanho: 128x128. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_GREEN_SQR_DESC,SE_GREEN_SQR_DESC,"Green square texture. Size: 128x128. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del quadrato verde. Dimensioni: 128×128. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de quadrado verde. Tamanho: 128x128. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_PURPLE_SQR_DESC,SE_PURPLE_SQR_DESC,"Purple square texture. Size: 128x128. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del quadrato viola. Dimensioni: 128×128. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de quadrado roxo. Tamanho: 128x128. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_CHAIN_DESC,SE_CHAIN_DESC,"Chain special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture della decorazione del blocco ""Catena"". Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial ""corrente"". Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_MERGE_DESC,SE_MERGE_DESC,"Merge special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture della decorazione del blocco ""Combina"". Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial ""misturar"". Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_LASER_DESC,SE_LASER_DESC,"Laser special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture della decorazione del blocco ""Laser"". Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial ""laser"". Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_WIPE_DESC,SE_WIPE_DESC,"Wipe special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture della decorazione del blocco ""Scanner"". Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco ""limpar"". Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_ERASED_DESC,SE_ERASED_DESC,Erased block texture. Size: 64x64.,Texture del blocco in eliminazione. Dimensioni: 64×64.,Textura de bloco apagado. Tamanho: 64x64.,
SE_DEATH_ANIM_DESC,SE_DEATH_ANIM_DESC,"Block explosion animation. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Animazione di eliminazione blocco. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de explosão do bloco. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_LIGHT_DESC,SE_LIGHT_DESC,Block highlight texture which is used by some special blocks (ex. chain). Size: 64x64,Texture d'illuminazione blocco. Utilizzati dai blocchi speciali (Es. catena). Dimensioni: 64×64,"Textura de contorno do bloco que é usada por alguns blocos especiais (ex. ""corrente""). Tamanho: 64x64.",
SE_MULTI_DESC,SE_MULTI_DESC,"Multi block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco multi. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco ""multi"". Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_DARK_DESC,SE_DARK_DESC,"Dark block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco scuro. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Lunghezza immagine/Altezza immagine","Textura de bloco ""escuro"". Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_EXPLO1_DESC,SE_EXPLO1_DESC,Square explosion star texture. Size: 165x165.,Texture della esplosione a stella. Dimensioni: 165×165,Textura da estrela de explosão do bloco. Tamanho: 165x165.,
SE_EXPLO2_DESC,SE_EXPLO2_DESC,Square explosion spark texture. Size: 250x250.,Texture della esplosione a scintilla. Dimensioni: 250×250,Textura da faísca de explosão do bloco. Tamanho: 250x250.,
SE_BONUS_ARROW,SE_BONUS_ARROW,BONUS ARROW,FRECCIA BONUS,SETA DE BONUS,
SE_BONUS_ARROW_DESC,SE_BONUS_ARROW_DESC,Bonus arrow texture. Size: 775x550.,Texture della freccia bonus. Dimensione: 775×550,Textura da seta de bonus. Tamanho: 775x550.,
SE_2X_DESC,SE_2X_DESC,2x combo number texture appearing in bonus animation. Size: 350x190.,Texture del numero ×2 nell'animazione bonus. Dimensioni 350×190,Textura de número combo 2x a aparecer na animação bónus. Tamanho: 350x190.,
SE_3X_DESC,SE_3X_DESC,3x combo number texture appearing in bonus animation. Size: 350x190.,Texture del numero ×3 nell'animazione bonus. Dimensioni 350×190,Textura de número combo 3x a aparecer na animação bónus. Tamanho: 350x190.,
SE_4X_DESC,SE_4X_DESC,4x combo number texture appearing in bonus animation. Size: 350x190.,Texture del numero ×4 nell'animazione bonus. Dimensioni 350×190,Textura de número combo 4x a aparecer na animação bónus. Tamanho: 350x190.,
SE_FX_COLOR,SE_FX_COLOR,EFFECTS COLORS,EFFETTI COLORI,EFEITOS DE CORES,
SE_RED_FX_DESC,SE_RED_FX_DESC,Red blocks effects color.,Colore degli effetti nei blocchi rossi,Efeitos de cores dos blocos vermelhos,
SE_WHITE_FX_DESC,SE_WHITE_FX_DESC,White blocks effects color.,Colore degli effetti nei blocchi bianchi,Efeitos de cores dos blocos brancos,
SE_GREEN_FX_DESC,SE_GREEN_FX_DESC,Green blocks effects color.,Colore degli effetti nei blocchi verdi,Efeitos de cores dos blocos verdes,
SE_PURPLE_FX_DESC,SE_PURPLE_FX_DESC,Purple blocks effects color.,Colore degli effetti nei blocchi viola,Efeitos de cores dos blocos roxos,
SE_BLOCK_ANIM,SE_BLOCK_ANIM,BLOCKS ANIMATION,ANIMAZIONE BLOCCHI,ANIMAÇÕES DE BLOCOS,
SE_BLOCK_ANIM_DESC,SE_BLOCK_ANIM_DESC,Select block animation timings preset.,Seleziona un set di tempismo per le animazioni,Seleciona a predefinição,
SE_RED_FPS,SE_RED_FPS,RED ANIMATION FPS,ANIMAZIONE ROSSO IN FPS,FPS DA ANIMAÇÃO DO BLOCO VERMELHO,
SE_RED_FPS_DESC,SE_RED_FPS_DESC,Set red colored regular block and square animation FPS.,Animazione del blocco rosso in FPS,Define os FPS da animação do bloco vermelho e quadrado vermelho normais.,
SE_WHITE_FPS,SE_WHITE_FPS,WHITE ANIMATION FPS,ANIMAZIONE BIANCO IN FPS,FPS DA ANIMAÇÃO DO BLOCO BRANCO,
SE_WHITE_FPS_DESC,SE_WHITE_FPS_DESC,Set white colored regular block and square animation FPS.,Animazione del blocco bianco in FPS,Define os FPS da animação do bloco branco e quadrado branco normais.,
SE_GREEN_FPS,SE_GREEN_FPS,GREEN ANIMATION FPS,ANIMAZIONE VERDE IN FPS,FPS DA ANIMAÇÃO DO BLOCO VERDE,
SE_GREEN_FPS_DESC,SE_GREEN_FPS_DESC,Set green colored regular block and square animation FPS.,Animazione del blocco verde in FPS,Define os FPS da animação do bloco verde e quadrado verde normais.,
SE_PURPLE_FPS,SE_PURPLE_FPS,PURPLE ANIMATION FPS,ANIMAZIONE VIOLA IN FPS,FPS DA ANIMAÇÃO DO BLOCO ROXO,
SE_PURPLE_FPS_DESC,SE_PURPLE_FPS_DESC,Set purple colored regular block and square animation FPS.,Animazione del blocco viola in FPS,Define os FPS da animação do bloco roxo e quadrado roxo normais.,
SE_BACK,SE_BACK,BACKGROUND,SFONDO,FUNDO,
SE_BACK_DESC,SE_BACK_DESC,Static background image. Size : 1920x1080.,Immagine di sfondo statica. Dimensioni: 1920×1080,Imagem estática de fundo. Tamanho : 1920x1080,
SE_UI_COLOR,SE_UI_COLOR,UI COLOR,COLORE UI,COR DA IU,
SE_UI_COLOR_DESC,SE_UI_COLOR_DESC,Change game UI color.,Cambia il colore dell'UI di gioco,Muda a cor da IU do jogo,
SE_TIMELINE,SE_TIMELINE,TIMELINE COLOR,COLORE TIMELINE,COR DA LINHA DO TEMPO,
SE_TIMELINE_DESC,SE_TIMELINE_DESC,Change timeline color.,Cambia il colore della timeline,Muda a cor da linha do tempo,
SE_VISUALIZER,SE_VISUALIZER,VISUALIZER COLOR,COLORE VISUALIZZATORE,COR DO VISUALIZADOR,
SE_VISUALIZER_DESC,SE_VISUALIZER_DESC,Change background audio visualizer color,Cambia il colore del visualizzatore audio,Muda a cor do visualizador de fundo de som,
SE_UI_DESIGN_DESC,SE_UI_DESIGN_DESC,Select UI design.,Seleziona design dell'UI,Seleciona o design da IU.,
SE_VIDEO,SE_VIDEO,Video,Video,Vídeo,
SE_VIDEO_DESC,SE_VIDEO_DESC,Insert video to use it as skin background. Supported formats: .webm; .mp4; .ogv.,Inserisci video da usare come sfondo sulla skin. Formati compatibili: .webm; .mp4; .ogv,DEFINIÇÕES DE VÍDEO,
SE_SCENE,SE_SCENE,Scene,Scenario,Cena,
SE_SCENE_DESC,SE_SCENE_DESC,Insert packed godot scenery to use it as skin background. Please read skin making manual on Project Luminext GitHub wiki for more info!,Inserisci uno scenario Godot impacchettato (PackedScenery) da usare come sfondo per la skin. Si prega di leggere il manuale di crezione skin nella pagina Github wiki di Project Luminext per maggior informazioni!,Inserir o conjunto de senário godot para usa-lo como fundo de skin. Por favor lê o manual na wiki do GitHub Project Luminext para mais informações!,
SE_SCENE_PATH,SE_SCENE_PATH,SCENE PATH,PERCORSO SCENA,LOCAL DO SENÁRIO,
SE_SCENE_PATH_DESC,SE_SCENE_PATH_DESC,Scene path in project folder. Must be entered in order for scene to be loaded.,Percorso della scena Godot nella cartella di lavoro. È necessario inserirlo se si vuole farlo funzionare,Local da pasta do senário. Tem de ser introduzido por ordem para a sena ser crregada.,
SE_AUDIO,SE_AUDIO,AUDIO,AUDIO,ÁUDIO,
SE_A_SQUARE,SE_SQUARE_CREATION,SQUARE CREATION,CREAZIONE QUADRATO,CRIAÇÃO DE QUADRADOS,
SE_A_SQUARE_DESC,SE_SQUARE_CREATION_DESC,Played when square is created.,Suona quando un quadrato viene creato,Reproduzido quando é feito um quadrado,
SE_A_BLAST,SE_SQUARE_BLAST,SQUARE BLAST,ESPLOSIONE,EXPLOSÃO DO QUADRADO,
SE_A_BLAST_DESC,SE_SQUARE_BLAST_DESC,Played when square is erased by the timeline.,Suona quando un quadrato viene cancellato dalla timeline,Reproduzido quando um quadrado é apagado pela linha do tempo,
SE_A_SPECIAL,SE_SPECIAL_BLAST,SPECIAL BLOCK BLAST,ESPLOSIONE SPECIALE,EXPLOSÃO DO BLOCO ESPECIAL,
SE_A_SPECIAL_DESC,SE_SPECIAL_BLAST_DESC,Played when special block is erased by the timeline.,Suona quando un blocco speciale viene cancellato dalla timeline,Reproduzido quando um bloco especial pela linha do tempo,
SE_A_TIMELINE,SE_TIMELINE_SOUND,TIMELINE ERASING BLOCKS,TIMELINE,LINHA DO TEMPO A APAGAR BLOCOS,
SE_A_TIMELINE_DESC,SE_TIMELINE_SOUND_DESC,Played when the timeline starts deleting blocks and squares.,Suona quando la timeline comincia a cancellare i blocchi e i quadrati,Reproduzido enquanto a linha do tempo estiver a apagar blocos e quadrados,
SE_A_BONUS,SE_BONUS_SOUND,4X BONUS SOUND,BONUS,SOM DE BÓNUS 4X,
SE_A_BONUS_DESC,SE_BONUS_SOUND_DESC,Played when 4 and more squares were erased in current timeline sweep. (4x bonus),Suona quando 4 o più quadrati vengono cancellati in una misura,Reproduzido quando 4 ou mias quadrados são apagados na passagem da linha do tempo. (bónus 4x),
SE_A_MOVE,SE_PIECE_MOVE,PIECE MOVE,SPOSTA,MOVIMENTO DE PEÇA,
SE_A_MOVE_DESC,SE_PIECE_MOVE_DESC,Played when piece is moved,Suona quando si muove il pezzo,Reproduzido quando a peça é movida,
SE_A_ROTATE_LEFT,SE_ROTATE_LEFT,ROTATE LEFT,RUOTA SINISTRA,RODAR PARA A ESQUERDA,
SE_A_ROTATE_LEFT_DESC,SE_ROTATE_LEFT_DESC,Played when piece is rotated left,Suona quando si ruota il pezzo a sinistra,Reproduzido quando a peça é rodada para a esquerda,
SE_A_ROTATE_RIGHT,SE_ROTATE_RIGHT,ROTATE RIGHT,RUOTA DESTRA,RODAR PARA A DIERITA,
SE_A_ROTATE_RIGHT_DESC,SE_ROTATE_RIGHT_DESC,Played when piece is rotated right,Suona quando si ruota il pezzo a destra,Reproduzido quando a peça é rodada para a direita,
SE_A_LEFT_DASH,SE_DASH_LEFT,DASH LEFT,SCATTO SINISTRA,MOVIMENTO RÁPIDO PARA A ESQUERDA,
SE_A_LEFT_DASH_DESC,SE_DASH_LEFT_DESC,Played when piece dashes left,Suona quando si fa scattare il pezzo a sinistra,Reproduzido quando é feito um movimento lateral rápido para a esquerda,
SE_A_RIGHT_DASH,SE_DASH_RIGHT,DASH RIGHT,SCATTO DESTRA,MOVIMENTO RÁPIDO PARA A ESQUERDA,
SE_A_RIGHT_DASH_DESC,SE_DASH_RIGHT_DESC,Played when piece dashes right,Suona quando si fa scattare il pezzo a destra,Reproduzido quando é feito um movimento lateral rápido para a direita,
SE_A_DROP,SE_PIECE_DROP,PIECE DROP,ATTERRA,QUEDA DA PEÇA,
SE_A_DROP_DESC,SE_PIECE_DROP_DESC,Played when piece has landed,Suona quando il pezzo atterra,Reproduzido quando a peça aterrar,
SE_A_QUEUE_SHIFT,SE_PIECE_SWAP,PIECE SWAP,SCAMBIO,TORCA DE PEÇA,
SE_A_QUEUE_SHIFT_DESC,SE_PIECE_SWAP_DESC,Played when piece is swapped,Suona quando si esegue uno scambio,Reproduzido quando a peça é trocada,
SE_A_LEVEL_UP,SE_LEVEL_UP,LEVEL UP!,PROSSIMO LIVELLO!,NÍVEL SEGUINTE!,
SE_A_LEVEL_UP_DESC,SE_LEVEL_UP_DESC,Played when level up occurs,Suona quando si sale di livello,Reproduzido quando se sobe de nível,
SE_A_SPECIAL_BONUS,SE_SPECIAL_BONUS,SPECIAL BONUS,BONUS SPECIALE,BONUS ESPECIAL,
SE_A_SPECIAL_BONUS_DESC,SE_SPECIAL_BONUS_DESC,Played when special bonus (single color/all clear) occurs,Suona quando occorre un bonus speciale (Pulizia a singolo colore/completa),Reproduzido quando um bónus especial (cor única/tudo limpo) ocorre,
SE_PLAY,SE_PLAY,PLAY,PLAY,REPRODUZIR,
SE_SOUND_TEXT1,SE_SOUND_TEXT1,"More than one sound may be assigned per action, indicated by a number next to an sound play button.","Più di un suono può essere inserito per azione, indicato da un numero vicino al bottone ""Play"".","Pode ser atribuído mais do que um som por ação, indicado por um número junto a um botão de reprodução de som.",
SE_SOUND_TEXT2,SE_SOUND_TEXT2,"If more than one sound is assigned to an action, a random assigned sound will play.","Se più di un suono viene utilizzato per una azione, un suono casuale verrà riprodotto per quella.","Se for atribuído mais do que um som a uma ação, será reproduzido um som atribuído aleatoriamente.",
SE_SOUND_TEXT3,SE_SOUND_TEXT3,"You also can remove sounds by right clicking, rest of the sounds will shift to the left.","Puoi anche rimuovere suoni cliccando col tasto destro, il resto dei suoni verrà spostato alla sinistra.","Também pode remover sons clicando com o botão direito, o resto dos sons será deslocado para a esquerda.",
SE_SOUND_TEXT4,SE_SOUND_TEXT4,To move between sounds you can use the arrow buttons or type the number and press enter.,Per muoversi attraversi i suoni puoi utilizzare le freccette oppure digitare il numero e premere ENTER.,"Para alternar entre sons, podes utilizar as seta ou digitar o número e premir Enter.",
SE_MUSIC,SE_MUSIC,MUSIC,MUSICA,MUSICA,
SE_MUSIC_DESC,SE_MUSIC_DESC,Main skin music. Supported formats: .ogg; .mp3; .wav,Musica per la skin. Formati compatibili: .ogg; .mp3; .wav,Musica da skin principal. Formatos suportados: .ogg; .mp3; .wav,
SE_A_ANNOUNCE,SE_ANNOUNCE,ANNOUNCE,ANNUNCIO,ANÚNCIO,
SE_A_ANNOUNCE_DESC,SE_ANNOUNCE_DESC,Played when this skin is loaded and is ready to start,Suona quando questa skin è caricata ed è pronta ad iniziare,Reproduzido quando a musica carregada está pronta para começar,
SE_A_PREVIEW,SE_PREVIEW,PREVIEW,ANTEPRIMA,PREVISUALIZAÇÃO,
SE_A_PREVIEW_DESC,SE_PREVIEW_DESC,Played when this skin is highlighted in the Playlist menu,Suona quando questa skin viene selezionata nel menu della modalità playlist,Reproduzido quando a skin é selecionada no modo lista de reprodução,
SE_A_ENDING,SE_ENDING,ENDING,FINE,FINAL,
SE_A_ENDING_DESC,SE_ENDING_DESC,"Played when the skin transition starts, so this would be the last skin sample",Suona quando inizia la transizione da questa skin a un'altra. Quindi questo sarà l'ultimo sample della skin,"Reproduzido quando a transição de skin começa, logo este será o último som da skin",
SE_SOME,SE_SOME,SOME,MESSO,ALGUNS,
SE_INSERT,SE_INPUT,INSERT,INPUT,ENTRADA,
SE_RESET,SE_RESET,RESET,RESET,REINICIAR,
SE_RESET_DESC,SE_RESET_DESC,Reset current skin to standard one.,Resetta la skin a quella standard,Reiniciar skin atual para uma skin pradrão,
SE_PLAYTEST,SE_PLAYTEST,PLAYTEST,PROVA,TESTAR,
SE_PLAYTEST_DESC,SE_PLAYTEST_DESC,Start skin playtest session.,Inizia la sezione di playtesting,Começar teste de jogabilidade da skin,
SE_LOAD,SE_LOAD,LOAD,CARICA,CARREGAR,
SE_LOAD_DESC,SE_LOAD_DESC,Load skin file to edit.,Carica il file di skin da modificare,Carregar dados de skin para editar,
SE_SAVE,SE_SAVE,SAVE,SALVA,SALVAR,
SE_SAVE_DESC,SE_SAVE_DESC,"Save current skin. Skin will be saved to your ""skins"" directory.","Salva la skin che verra aggiunta nella cartella ""Skins""","Salvar skin atual. Esta será salva no teu diretório de ""skins""",
SE_EXIT_DESC,SE_EXIT_DESC,Return back to main menu,Ritorna al menu principale,Voltar ao menu principal,
SE_UNSAVED_CONTINUE,SE_UNSAVED_CONTINUE,This skin has unsaved changes and you must save it now in order to continue. Proceed?,Questa skin ha delle modifiche non salvatie e devi salvarla ora per continuare. Procedere con l'operazione?,Esta skin tem alterações não salvas e tens de a salvar para continuar. Proceder?,
SE_UNSAVED_EXIT,SE_UNSAVED_EXIT,This skin has unsaved changes. Are you sure you want to exit?,Questa skin ha delle modifiche non salvate. Sei sicuro di voler uscire?,Esta skin tem alterações não salvas. Tens a certeza que queres sair?,
SE_UNSAVED_RESET,SE_UNSAVED_RESET,This skin has unsaved changes. Are you sure you want to reset everything?,Questa skin ha delle modifiche non salvate. Sei sicuro di voler resettare tutto?,Esta skin tem alterações não salvas. Tens a certeza que queres repor tudo?,
SE_RESET_DIALOG,SE_RESET_DIALOG,Are you sure you want to reset everything?,Sei sicuro di voler resettare tutto?,Tens a certeza que queres repor tudo?,
SE_SAVE_DIALOG,SE_SAVE_DIALOG,Are you sure you want to save this skin?,Sei sicuro di voler salvare questa skin?,Tens a certeza que queres salvar esta skin?,
